action step x1 y1 x2 y2
- 0 2 2 4 4
[step] 1 2 2 4 3
[step] 2 1 2 4 2
[step] 3 1 3 5 2
[step] 4 2 3 6 2
[step] 5 1 3 6 2
[step] 6 1 2 6 1
[step] 7 2 2 7 1
[step] 8 2 3 8 1
[step] 9 2 4 7 1
[step] 10 2 3 7 2
[step] 11 1 3 8 2
[step] 12 1 3 8 1
[step] 13 1 3 9 1
[step] 14 2 3 10 1
[step] 15 2 4 9 1
[step] 16 3 4 10 1
[step] 17 2 4 9 1
[step] 18 1 4 10 1
[step] 19 1 3 10 2
[step] 20 2 3 10 2
[step] 21 2 4 10 1
[step] 22 3 4 10 1
[step] 23 3 4 10 2
[step] 24 3 5 10 3
[step] 25 3 4 10 4
[step] 26 3 3 10 3
[step] 27 2 3 10 3
[step] 28 3 3 10 4
[step] 29 4 3 10 4
[step] 30 3 3 10 3
[step] 31 2 3 10 2
[step] 32 2 3 10 2
[step] 33 2 3 10 1
[step] 34 1 3 10 2
[step] 35 1 2 10 3
[step] 36 1 1 9 3
[step] 37 2 1 9 4
[step] 38 2 1 9 3
[step] 39 2 2 9 2
[step] 40 2 2 9 2
[step] 41 2 3 9 2
[step] 42 3 3 10 2
[step] 43 2 3 10 2
[step] 44 2 2 10 1
[step] 45 2 2 9 1
[step] 46 1 2 10 1
[step] 47 1 1 10 1
[step] 48 1 1 9 1
[step] 49 1 2 8 1
[step] 50 1 3 7 1
[step] 51 2 3 8 1
[step] 52 1 3 8 1
[step] 53 1 3 7 1
[step] 54 2 3 7 1
[step] 55 2 3 8 1
[step] 56 2 3 8 1
[step] 57 2 3 9 1
[step] 58 1 3 9 2
[step] 59 2 3 9 2
[step] 60 2 3 9 1
[step] 61 2 3 10 1
[step] 62 3 3 10 2
[step] 63 3 4 9 2
[step] 64 3 4 10 2
[step] 65 3 5 9 2
[step] 66 4 5 9 3
[step] 67 4 5 9 3
[step] 68 4 5 9 3
[step] 69 4 4 9 4
[step] 70 4 4 9 3
[step] 71 4 3 8 3
[step] 72 4 3 8 3
[step] 73 4 4 8 3
[step] 74 4 3 9 3
[step] 75 4 2 9 3
[step] 76 4 1 9 3
[step] 77 4 1 9 3
[step] 78 4 2 9 4
[step] 79 4 1 9 4
[step] 80 5 1 10 4
[step] 81 6 1 9 4
[step] 82 5 1 10 4
[step] 83 4 1 10 4
[step] 84 5 1 10 4
[step] 85 5 2 10 3
[step] 86 5 2 10 2
[step] 87 5 2 9 2
[step] 88 5 2 10 2
[step] 89 5 1 10 1
[step] 90 5 1 9 1
[step] 91 5 2 10 1
[step] 92 6 2 9 1
[step] 93 5 2 9 1
[step] 94 5 2 9 1
[step] 95 4 2 9 1
[step] 96 4 3 10 1
[step] 97 4 3 10 2
[step] 98 4 3 10 3
[step] 99 4 2 9 3
[step] 100 5 2 9 4
[step] 101 5 2 9 5
[step] 102 6 2 9 4
[step] 103 5 2 9 3
[step] 104 5 2 9 4
[step] 105 6 2 9 3
[step] 106 7 2 10 3
[step] 107 6 2 10 2
[step] 108 6 1 9 2
[step] 109 6 2 9 1
[step] 110 5 2 10 1
[step] 111 4 2 10 2
[step] 112 4 1 10 1
[step] 113 4 1 9 1
[step] 114 5 1 9 2
[step] 115 6 1 8 2
[step] 116 6 2 9 2
[step] 117 5 2 9 1
[step] 118 5 3 10 1
[step] 119 6 3 9 1
[step] 120 6 3 9 2
[step] 121 7 3 9 1
[step] 122 7 3 8 1
[step] 123 7 2 8 1
[step] 124 7 2 9 1
[step] 125 7 2 9 1
[step] 126 7 3 10 1
[step] 127 8 3 9 1
[step] 128 9 3 10 1
[step] 129 10 3 10 1
[step] 130 10 4 10 1
[step] 131 10 4 10 1
[step] 132 10 4 10 1
[step] 133 9 4 9 1
[step] 134 9 4 9 2
[step] 135 9 5 9 3
[step] 136 9 4 9 3
[step] 137 10 4 9 2
[step] 138 9 4 9 3
[step] 139 9 4 8 3
[step] 140 9 4 8 2
[step] 141 9 5 8 3
[step] 142 10 5 8 3
[step] 143 10 5 8 2
[step] 144 9 5 8 3
[step] 145 10 5 9 3
[step] 146 10 5 9 2
[step] 147 10 5 10 2
[step] 148 10 4 10 1
[step] 149 9 4 9 1
[step] 150 10 4 8 1
[step] 151 10 3 9 1
[step] 152 10 2 8 1
[step] 153 10 2 8 2
[step] 154 10 3 8 1
[step] 155 10 2 8 2
[step] 156 10 3 8 1
[step] 157 10 2 9 1
[step] 158 10 3 10 1
[step] 159 10 4 9 1
[step] 160 10 3 10 1
[step] 161 10 3 9 1
[step] 162 9 3 8 1
[step] 163 9 4 9 1
[step] 164 9 3 10 1
[step] 165 9 3 9 1
[step] 166 8 3 9 2
[step] 167 7 3 10 2
[step] 168 7 3 10 1
[step] 169 7 2 9 1
[step] 170 7 2 10 1
[step] 171 6 2 10 2
[step] 172 6 1 10 1
[step] 173 7 1 10 2
[step] 174 7 1 10 3
[step] 175 6 1 10 2
[step] 176 6 2 10 3
[step] 177 6 3 10 4
[step] 178 6 4 10 4
[step] 179 6 3 10 4
[step] 180 6 3 10 5
[step] 181 5 3 9 5
[step] 182 6 3 9 5
[step] 183 5 3 9 4
[step] 184 4 3 9 4
[step] 185 4 2 10 4
[step] 186 4 2 9 4
[step] 187 4 3 10 4
[step] 188 5 3 10 3
[step] 189 6 3 10 4
[step] 190 6 4 10 4
[step] 191 6 3 9 4
[step] 192 6 4 9 4
[step] 193 6 5 9 4
[step] 194 5 5 9 4
[step] 195 4 5 8 4
[step] 196 3 5 7 4
[step] 197 3 6 7 5
[step] 198 4 6 7 4
[step] 199 4 7 8 4
[step] 200 4 8 8 5
[step] 201 5 8 8 4
[step] 202 5 9 8 3
[step] 203 5 9 7 3
[step] 204 5 8 7 2
[step] 205 5 8 7 1
[step] 206 4 8 7 2
[step] 207 3 8 7 3
[step] 208 3 8 6 3
[step] 209 4 8 6 2
[step] 210 4 7 7 2
[step] 211 3 7 7 3
[step] 212 2 7 7 4
[step] 213 1 7 8 4
[step] 214 1 7 7 4
[step] 215 1 7 7 5
[step] 216 1 6 6 5
[step] 217 1 5 6 6
[step] 218 1 5 6 6
[step] 219 2 5 6 5
[step] 220 2 5 6 6
[step] 221 1 5 6 7
[step] 222 1 5 6 6
[step] 223 2 5 6 7
[step] 224 1 5 5 7
[step] 225 1 6 5 7
[step] 226 1 5 4 7
[step] 227 1 6 5 7
[step] 228 1 6 6 7
[step] 229 1 6 6 6
[step] 230 1 7 6 7
[step] 231 1 6 7 7
[step] 232 1 7 7 7
[step] 233 1 6 6 7
[step] 234 1 6 5 7
[step] 235 1 5 5 6
[step] 236 1 5 4 6
[step] 237 1 4 3 6
[step] 238 1 3 3 7
[step] 239 2 3 3 6
[step] 240 2 4 3 5
[step] 241 3 4 2 5
[step] 242 2 4 2 5
[step] 243 1 4 2 5
[step] 244 1 3 2 5
[step] 245 1 3 3 5
[step] 246 1 2 3 4
[step] 247 1 1 4 4
[step] 248 2 1 5 4
[step] 249 3 1 5 4
[step] 250 3 2 5 5
[step] 251 4 2 5 6
[step] 252 3 2 5 6
[step] 253 4 2 4 6
[step] 254 3 2 4 5
[step] 255 2 2 4 5
[step] 256 2 3 5 5
[step] 257 2 4 5 4
[step] 258 1 4 5 3
[step] 259 2 4 5 2
[step] 260 2 4 5 2
[step] 261 2 5 5 3
[step] 262 2 5 5 2
[step] 263 1 5 5 1
[step] 264 1 5 6 1
[step] 265 1 4 7 1
[step] 266 1 3 7 1
[step] 267 1 2 7 2
[step] 268 1 3 7 3
[step] 269 1 2 7 3
[step] 270 1 1 7 2
[step] 271 2 1 7 1
[step] 272 2 1 6 1
[step] 273 2 1 5 1
[step] 274 2 2 5 2
[step] 275 2 1 5 1
[step] 276 3 1 5 1
[step] 277 3 1 5 1
[step] 278 3 1 4 1
[step] 279 3 1 4 2
[step] 280 3 1 4 3
[step] 281 4 1 5 3
[step] 282 4 1 5 4
[step] 283 4 2 5 5
[step] 284 5 2 5 5
[step] 285 5 3 5 6
