action step x1 y1 x2 y2
- 0 2 2 3 3
[step] 1 2 3 3 4
[step] 2 1 3 3 5
[step] 3 2 3 3 6
[step] 4 1 3 3 7
[step] 5 1 2 2 7
[step] 6 1 3 1 7
[step] 7 1 4 1 8
[step] 8 2 4 1 9
[step] 9 2 3 1 8
[step] 10 1 3 1 7
[step] 11 1 4 1 6
[step] 12 1 5 1 7
[step] 13 1 6 2 7
[step] 14 1 5 1 7
[step] 15 2 5 2 7
[step] 16 2 6 3 7
[step] 17 2 5 2 7
[step] 18 2 6 2 6
[step] 19 1 6 3 6
[step] 20 2 6 3 7
[step] 21 2 5 3 8
[step] 22 2 6 4 8
[step] 23 1 6 5 8
[step] 24 2 6 5 9
[step] 25 3 6 5 10
[step] 26 3 7 5 9
[step] 27 3 8 5 10
[step] 28 2 8 4 10
[step] 29 2 9 4 9
[step] 30 2 8 5 9
[step] 31 1 8 4 9
[step] 32 1 9 4 10
[step] 33 1 8 3 10
[step] 34 1 9 2 10
[step] 35 1 8 1 10
[step] 36 1 7 2 10
[step] 37 1 6 3 10
[step] 38 2 6 3 9
[step] 39 2 7 3 10
[step] 40 2 6 4 10
[step] 41 2 5 4 9
[step] 42 1 5 3 9
[step] 43 1 6 3 10
[step] 44 1 7 2 10
[step] 45 1 6 1 10
[step] 46 1 7 1 9
[step] 47 1 8 1 8
[step] 48 1 7 1 9
[step] 49 1 8 2 9
[step] 50 1 9 1 9
[step] 51 2 9 1 8
[step] 52 1 9 1 9
[step] 53 2 9 1 8
[step] 54 2 10 1 9
[step] 55 2 9 2 9
[step] 56 3 9 1 9
[step] 57 2 9 2 9
[step] 58 2 10 2 10
[step] 59 1 10 1 10
[step] 60 2 10 1 9
[step] 61 1 10 2 9
[step] 62 2 10 2 10
[step] 63 2 9 3 10
[step] 64 3 9 3 9
[step] 65 2 9 3 8
[step] 66 2 10 4 8
[step] 67 1 10 3 8
[step] 68 2 10 4 8
[step] 69 3 10 5 8
[step] 70 4 10 6 8
[step] 71 4 9 6 7
[step] 72 5 9 6 6
[step] 73 6 9 6 5
[step] 74 6 10 5 5
[step] 75 5 10 6 5
[step] 76 5 9 5 5
[step] 77 5 10 5 4
[step] 78 6 10 5 5
[step] 79 5 10 5 4
[step] 80 4 10 5 3
[step] 81 3 10 5 2
[step] 82 3 9 5 1
[step] 83 2 9 4 1
[step] 84 2 8 5 1
[step] 85 2 9 6 1
[step] 86 2 10 7 1
[step] 87 1 10 7 2
[step] 88 1 9 7 1
[step] 89 1 10 7 2
[step] 90 1 9 8 2
[step] 91 2 9 9 2
[step] 92 2 10 9 1
[step] 93 2 9 9 2
[step] 94 2 8 9 3
[step] 95 3 8 9 2
[step] 96 2 8 9 3
[step] 97 2 9 9 2
[step] 98 2 8 9 1
[step] 99 2 7 9 2
[step] 100 1 7 9 3
