action step x1 y1 x2 y2 x3 y3
- 0 2 2 4 4 6 6
[step] 1 3 2 5 4 6 7
[step] 2 3 3 5 5 6 6
[step] 3 3 2 6 5 6 7
[step] 4 3 3 6 4 6 8
[step] 5 2 3 6 5 5 8
[step] 6 1 3 6 6 6 8
[step] 7 1 2 5 6 7 8
[step] 8 1 3 5 5 8 8
[step] 9 1 2 5 6 8 7
[step] 10 1 1 4 6 9 7
[step] 11 2 1 4 5 9 8
[step] 12 2 2 4 6 8 8
[step] 13 1 2 3 6 8 9
[step] 14 1 1 4 6 7 9
[step] 15 1 2 3 6 7 10
[step] 16 1 3 2 6 6 10
[step] 17 2 3 2 5 6 9
[step] 18 3 3 2 6 6 10
[step] 19 3 2 2 5 5 10
[step] 20 3 1 1 5 4 10
[step] 21 2 1 2 5 5 10
[step] 22 2 2 1 5 6 10
[step] 23 1 2 2 5 7 10
[step] 24 1 3 3 5 7 9
[step] 25 1 4 3 4 6 9
[step] 26 1 3 2 4 7 9
[step] 27 1 2 2 5 8 9
[step] 28 1 1 2 6 8 10
[step] 29 1 2 3 6 9 10
[step] 30 2 2 3 7 9 9
[step] 31 1 2 3 8 10 9
[step] 32 2 2 2 8 9 9
[step] 33 2 1 2 7 9 8
[step] 34 1 1 2 8 9 9
[step] 35 2 1 1 8 9 10
[step] 36 2 2 1 7 10 10
[step] 37 1 2 2 7 9 10
[step] 38 2 2 3 7 10 10
[step] 39 2 1 3 6 10 9
[step] 40 3 1 3 7 10 8
[step] 41 3 2 4 7 10 9
[step] 42 3 3 5 7 9 9
[step] 43 3 2 5 6 10 9
[step] 44 4 2 6 6 10 8
[step] 45 4 1 7 6 9 8
[step] 46 4 2 8 6 9 9
[step] 47 3 2 7 6 9 8
[step] 48 4 2 7 7 9 7
[step] 49 4 1 6 7 10 7
[step] 50 3 1 6 8 10 6
[step] 51 2 1 6 9 10 5
[step] 52 2 2 5 9 10 6
[step] 53 2 1 6 9 10 5
[step] 54 3 1 6 8 10 6
[step] 55 2 1 5 8 9 6
[step] 56 1 1 4 8 9 5
[step] 57 1 2 5 8 9 4
[step] 58 2 2 5 9 8 4
[step] 59 1 2 4 9 8 5
[step] 60 1 1 5 9 8 6
[step] 61 2 1 6 9 9 6
[step] 62 2 2 7 9 9 7
[step] 63 3 2 7 10 10 7
[step] 64 2 2 8 10 9 7
[step] 65 2 3 7 10 8 7
[step] 66 2 2 7 9 7 7
[step] 67 2 1 7 8 7 6
[step] 68 2 2 7 7 7 5
[step] 69 2 3 6 7 8 5
[step] 70 2 2 5 7 8 6
[step] 71 2 1 5 8 7 6
[step] 72 1 1 5 9 8 6
[step] 73 2 1 4 9 9 6
[step] 74 1 1 4 8 9 7
[step] 75 2 1 3 8 9 8
[step] 76 2 2 4 8 9 7
[step] 77 3 2 4 7 9 8
[step] 78 3 3 4 6 8 8
[step] 79 4 3 5 6 8 7
[step] 80 3 3 6 6 8 6
[step] 81 4 3 6 7 8 5
[step] 82 5 3 6 6 8 4
[step] 83 5 2 5 6 8 3
[step] 84 4 2 4 6 9 3
[step] 85 4 1 3 6 10 3
[step] 86 5 1 3 7 9 3
[step] 87 5 2 4 7 10 3
[step] 88 6 2 4 8 10 4
[step] 89 6 1 4 7 10 5
[step] 90 5 1 4 6 10 6
[step] 91 4 1 4 5 9 6
[step] 92 3 1 3 5 9 7
[step] 93 4 1 3 6 8 7
[step] 94 5 1 4 6 9 7
[step] 95 6 1 4 5 9 8
[step] 96 6 2 5 5 9 7
[step] 97 7 2 6 5 9 6
[step] 98 6 2 6 6 10 6
[step] 99 6 3 5 6 10 7
[step] 100 5 3 5 7 9 7
[step] 101 5 2 4 7 9 6
[step] 102 5 3 5 7 10 6
[step] 103 4 3 6 7 10 5
[step] 104 3 3 5 7 9 5
[step] 105 4 3 5 8 8 5
[step] 106 3 3 5 9 8 4
[step] 107 3 4 4 9 7 4
[step] 108 3 5 4 10 8 4
[step] 109 3 4 4 9 9 4
[step] 110 4 4 4 8 9 3
[step] 111 4 5 3 8 10 3
[step] 112 5 5 4 8 10 4
[step] 113 5 6 3 8 10 3
[step] 114 4 6 4 8 10 4
[step] 115 4 5 3 8 10 3
[step] 116 4 6 2 8 10 2
[step] 117 4 5 2 9 10 3
[step] 118 5 5 2 10 10 4
[step] 119 5 6 3 10 10 5
[step] 120 5 7 3 9 10 6
[step] 121 4 7 3 8 10 5
[step] 122 4 6 3 7 10 4
[step] 123 3 6 3 8 9 4
[step] 124 3 7 4 8 10 4
[step] 125 4 7 4 9 9 4
[step] 126 5 7 5 9 9 3
[step] 127 5 8 5 10 10 3
[step] 128 4 8 6 10 10 2
[step] 129 4 7 6 9 10 3
[step] 130 3 7 6 10 10 4
[step] 131 3 6 5 10 10 5
[step] 132 2 6 6 10 9 5
[step] 133 2 5 6 9 10 5
[step] 134 2 6 6 10 9 5
[step] 135 2 5 6 9 10 5
[step] 136 3 5 6 8 10 4
[step] 137 2 5 5 8 9 4
[step] 138 2 6 6 8 9 5
[step] 139 2 5 6 7 10 5
[step] 140 1 5 5 7 9 5
[step] 141 1 4 4 7 9 6
[step] 142 1 5 5 7 10 6
[step] 143 2 5 5 6 9 6
[step] 144 2 4 5 5 10 6
[step] 145 3 4 5 4 10 7
[step] 146 2 4 6 4 9 7
[step] 147 2 3 7 4 8 7
[step] 148 3 3 6 4 7 7
[step] 149 2 3 7 4 6 7
[step] 150 2 2 6 4 6 6
[step] 151 2 1 5 4 7 6
[step] 152 2 2 4 4 6 6
[step] 153 3 2 4 5 6 5
[step] 154 2 2 5 5 6 4
[step] 155 1 2 5 6 5 4
[step] 156 1 1 6 6 5 5
[step] 157 2 1 5 6 4 5
[step] 158 2 2 5 7 4 6
[step] 159 3 2 6 7 3 6
[step] 160 3 3 7 7 4 6
[step] 161 3 4 8 7 5 6
[step] 162 4 4 7 7 4 6
[step] 163 5 4 6 7 5 6
[step] 164 5 3 7 7 6 6
[step] 165 4 3 7 8 6 5
[step] 166 4 2 8 8 5 5
[step] 167 4 1 9 8 5 4
[step] 168 5 1 9 7 5 5
[step] 169 5 2 9 8 4 5
[step] 170 5 3 8 8 4 4
[step] 171 5 2 9 8 3 4
[step] 172 5 3 8 8 3 5
[step] 173 5 2 9 8 3 4
[step] 174 6 2 9 9 4 4
[step] 175 6 1 9 10 5 4
[step] 176 5 1 8 10 5 3
[step] 177 5 2 7 10 5 2
[step] 178 5 3 8 10 5 3
[step] 179 4 3 8 9 5 2
[step] 180 5 3 8 10 6 2
[step] 181 4 3 7 10 6 3
[step] 182 4 2 6 10 5 3
[step] 183 4 1 6 9 6 3
[step] 184 5 1 6 8 6 4
[step] 185 5 2 6 9 7 4
[step] 186 5 3 5 9 7 5
[step] 187 4 3 5 10 6 5
[step] 188 3 3 4 10 7 5
[step] 189 4 3 5 10 6 5
[step] 190 4 2 4 10 6 6
[step] 191 3 2 3 10 6 5
[step] 192 2 2 2 10 5 5
[step] 193 2 1 2 9 5 6
[step] 194 2 2 2 8 5 7
[step] 195 2 3 2 9 6 7
[step] 196 3 3 3 9 6 6
[step] 197 4 3 2 9 5 6
[step] 198 3 3 2 8 6 6
[step] 199 2 3 1 8 7 6
[step] 200 2 4 1 7 6 6
[step] 201 3 4 2 7 6 7
[step] 202 2 4 3 7 6 8
[step] 203 2 5 3 6 5 8
[step] 204 2 6 3 7 5 9
[step] 205 2 7 3 8 4 9
[step] 206 2 8 3 9 4 8
[step] 207 2 9 2 9 3 8
[step] 208 1 9 2 8 3 7
[step] 209 1 8 2 9 4 7
[step] 210 1 9 2 8 4 6
[step] 211 1 10 2 9 3 6
[step] 212 2 10 1 9 3 7
[step] 213 3 10 1 8 2 7
[step] 214 4 10 1 9 1 7
[step] 215 5 10 2 9 1 8
[step] 216 6 10 1 9 1 9
[step] 217 6 9 2 9 1 10
[step] 218 7 9 1 9 2 10
[step] 219 7 10 1 10 2 9
[step] 220 8 10 1 9 3 9
[step] 221 9 10 1 8 3 10
[step] 222 10 10 1 9 4 10
[step] 223 10 9 1 8 5 10
[step] 224 9 9 1 7 6 10
[step] 225 9 8 1 6 5 10
[step] 226 9 9 1 5 5 9
[step] 227 10 9 1 6 5 10
[step] 228 10 10 1 5 4 10
[step] 229 9 10 1 6 4 9
[step] 230 8 10 1 5 4 8
[step] 231 7 10 1 4 3 8
[step] 232 7 9 1 5 4 8
[step] 233 6 9 2 5 3 8
[step] 234 5 9 3 5 3 7
[step] 235 5 8 3 6 4 7
[step] 236 5 9 3 5 4 8
[step] 237 5 10 2 5 3 8
[step] 238 6 10 1 5 3 9
[step] 239 6 9 1 6 2 9
[step] 240 7 9 1 7 1 9
[step] 241 8 9 2 7 1 8
[step] 242 7 9 2 6 2 8
[step] 243 7 10 3 6 1 8
[step] 244 8 10 3 7 1 7
[step] 245 7 10 3 6 2 7
[step] 246 8 10 3 7 2 6
[step] 247 8 9 3 8 1 6
[step] 248 8 8 4 8 2 6
[step] 249 9 8 3 8 1 6
[step] 250 10 8 2 8 2 6
[step] 251 10 9 2 7 3 6
[step] 252 9 9 1 7 2 6
[step] 253 9 8 1 6 2 5
[step] 254 10 8 1 7 3 5
[step] 255 10 7 1 6 3 6
[step] 256 10 8 1 7 2 6
[step] 257 9 8 2 7 1 6
[step] 258 9 9 2 8 1 7
[step] 259 10 9 2 9 1 6
[step] 260 9 9 3 9 1 5
[step] 261 10 9 2 9 1 4
[step] 262 9 9 1 9 2 4
[step] 263 9 8 2 9 1 4
[step] 264 10 8 1 9 1 3
[step] 265 10 7 2 9 1 2
[step] 266 10 8 2 10 1 1
[step] 267 9 8 1 10 2 1
[step] 268 9 9 2 10 2 2
[step] 269 9 8 1 10 2 1
[step] 270 9 7 1 9 3 1
[step] 271 9 8 1 8 3 2
[step] 272 9 9 2 8 2 2
[step] 273 9 10 1 8 2 3
[step] 274 9 9 1 7 2 4
[step] 275 9 10 1 8 1 4
[step] 276 8 10 1 7 2 4
[step] 277 9 10 1 8 1 4
[step] 278 8 10 1 9 1 5
[step] 279 7 10 2 9 2 5
[step] 280 6 10 2 10 2 6
[step] 281 5 10 3 10 1 6
[step] 282 5 9 4 10 1 7
[step] 283 5 10 4 9 1 6
[step] 284 4 10 4 10 1 5
[step] 285 4 9 5 10 1 4
[step] 286 4 10 6 10 1 3
[step] 287 5 10 6 9 1 4
[step] 288 5 9 5 9 1 5
[step] 289 5 8 4 9 1 6
[step] 290 6 8 4 10 1 5
[step] 291 7 8 4 9 1 4
[step] 292 7 7 5 9 1 3
[step] 293 7 6 6 9 1 2
[step] 294 7 5 6 8 1 1
[step] 295 7 6 5 8 2 1
[step] 296 7 5 5 9 3 1
[step] 297 7 4 5 10 3 2
[step] 298 7 5 6 10 4 2
[step] 299 7 4 5 10 4 3
[step] 300 8 4 4 10 4 4
